"","id","clusters","tune","Freq","number_in_cluster","max_tune","prop","nclust"
"1","A1","A","HHH",7,48,16,0.4375,4
"2","A1","A","HHH",7,48,16,0.4375,4
"3","A1","A","HHH",7,48,16,0.4375,4
"4","A1","A","HHH",7,48,16,0.4375,4
"5","A10","A","HHH",0,72,16,0,2
"6","A10","A","HHH",0,72,16,0,2
"7","A11","A","HHH",11,43,11,1,2
"8","A11","A","HHH",11,43,11,1,2
"9","A12","A","HHH",1,47,18,0.0555555555555556,3
"10","A12","A","HHH",1,47,18,0.0555555555555556,3
"11","A12","A","HHH",1,47,18,0.0555555555555556,3
"12","A13","A","HHH",1,57,17,0.0588235294117647,4
"13","A13","A","HHH",1,57,17,0.0588235294117647,4
"14","A13","A","HHH",1,57,17,0.0588235294117647,4
"15","A13","A","HHH",1,57,17,0.0588235294117647,4
"16","A14","A","HHH",0,70,17,0,2
"17","A14","A","HHH",0,70,17,0,2
"18","A15","A","HHH",0,68,17,0,2
"19","A15","A","HHH",0,68,17,0,2
"20","A16","A","HHH",3,80,15,0.2,2
"21","A16","A","HHH",3,80,15,0.2,2
"22","A17","A","HHH",0,39,18,0,5
"23","A17","A","HHH",0,39,18,0,5
"24","A17","A","HHH",0,39,18,0,5
"25","A17","A","HHH",0,39,18,0,5
"26","A17","A","HHH",0,39,18,0,5
"27","A18","A","HHH",15,69,17,0.882352941176471,2
"28","A18","A","HHH",15,69,17,0.882352941176471,2
"29","A19","A","HHH",1,27,18,0.0555555555555556,7
"30","A19","A","HHH",1,27,18,0.0555555555555556,7
"31","A19","A","HHH",1,27,18,0.0555555555555556,7
"32","A19","A","HHH",1,27,18,0.0555555555555556,7
"33","A19","A","HHH",1,27,18,0.0555555555555556,7
"34","A19","A","HHH",1,27,18,0.0555555555555556,7
"35","A19","A","HHH",1,27,18,0.0555555555555556,7
"36","A2","A","HHH",0,41,17,0,4
"37","A2","A","HHH",0,41,17,0,4
"38","A2","A","HHH",0,41,17,0,4
"39","A2","A","HHH",0,41,17,0,4
"40","A20","A","HHH",0,35,17,0,5
"41","A20","A","HHH",0,35,17,0,5
"42","A20","A","HHH",0,35,17,0,5
"43","A20","A","HHH",0,35,17,0,5
"44","A20","A","HHH",0,35,17,0,5
"45","A21","A","HHH",6,108,18,0.333333333333333,2
"46","A21","A","HHH",6,108,18,0.333333333333333,2
"47","A22","A","HHH",17,76,18,0.944444444444444,2
"48","A22","A","HHH",17,76,18,0.944444444444444,2
"49","A23","A","HHH",0,35,18,0,5
"50","A23","A","HHH",0,35,18,0,5
"51","A23","A","HHH",0,35,18,0,5
"52","A23","A","HHH",0,35,18,0,5
"53","A23","A","HHH",0,35,18,0,5
"54","A24","A","HHH",3,37,16,0.1875,4
"55","A24","A","HHH",3,37,16,0.1875,4
"56","A24","A","HHH",3,37,16,0.1875,4
"57","A24","A","HHH",3,37,16,0.1875,4
"58","A25","A","HHH",0,55,18,0,3
"59","A25","A","HHH",0,55,18,0,3
"60","A25","A","HHH",0,55,18,0,3
"61","A26","A","HHH",1,80,17,0.0588235294117647,2
"62","A26","A","HHH",1,80,17,0.0588235294117647,2
"63","A27","A","HHH",0,82,16,0,2
"64","A27","A","HHH",0,82,16,0,2
"65","A28","A","HHH",0,35,18,0,5
"66","A28","A","HHH",0,35,18,0,5
"67","A28","A","HHH",0,35,18,0,5
"68","A28","A","HHH",0,35,18,0,5
"69","A28","A","HHH",0,35,18,0,5
"70","A29","A","HHH",1,79,18,0.0555555555555556,2
"71","A29","A","HHH",1,79,18,0.0555555555555556,2
"72","A3","A","HHH",0,30,16,0,6
"73","A3","A","HHH",0,30,16,0,6
"74","A3","A","HHH",0,30,16,0,6
"75","A3","A","HHH",0,30,16,0,6
"76","A3","A","HHH",0,30,16,0,6
"77","A3","A","HHH",0,30,16,0,6
"78","A30","A","HHH",16,32,18,0.888888888888889,5
"79","A30","A","HHH",16,32,18,0.888888888888889,5
"80","A30","A","HHH",16,32,18,0.888888888888889,5
"81","A30","A","HHH",16,32,18,0.888888888888889,5
"82","A30","A","HHH",16,32,18,0.888888888888889,5
"83","A4","A","HHH",0,64,17,0,2
"84","A4","A","HHH",0,64,17,0,2
"85","A5","A","HHH",0,66,17,0,2
"86","A5","A","HHH",0,66,17,0,2
"87","A6","A","HHH",0,34,13,0,4
"88","A6","A","HHH",0,34,13,0,4
"89","A6","A","HHH",0,34,13,0,4
"90","A6","A","HHH",0,34,13,0,4
"91","A7","A","HHH",12,65,12,1,2
"92","A7","A","HHH",12,65,12,1,2
"93","A8","A","HHH",0,43,17,0,4
"94","A8","A","HHH",0,43,17,0,4
"95","A8","A","HHH",0,43,17,0,4
"96","A8","A","HHH",0,43,17,0,4
"97","A9","A","HHH",0,80,14,0,2
"98","A9","A","HHH",0,80,14,0,2
"99","A1","B","HHH",0,43,16,0,4
"100","A1","B","HHH",0,43,16,0,4
"101","A1","B","HHH",0,43,16,0,4
"102","A1","B","HHH",0,43,16,0,4
"103","A10","B","HHH",16,53,16,1,2
"104","A10","B","HHH",16,53,16,1,2
"105","A11","B","HHH",0,31,11,0,2
"106","A11","B","HHH",0,31,11,0,2
"107","A12","B","HHH",0,42,18,0,3
"108","A12","B","HHH",0,42,18,0,3
"109","A12","B","HHH",0,42,18,0,3
"110","A13","B","HHH",0,31,17,0,4
"111","A13","B","HHH",0,31,17,0,4
"112","A13","B","HHH",0,31,17,0,4
"113","A13","B","HHH",0,31,17,0,4
"114","A14","B","HHH",17,63,17,1,2
"115","A14","B","HHH",17,63,17,1,2
"116","A15","B","HHH",17,67,17,1,2
"117","A15","B","HHH",17,67,17,1,2
"118","A16","B","HHH",12,46,15,0.8,2
"119","A16","B","HHH",12,46,15,0.8,2
