"filename","interval_label","start","end","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","cluster"
"A1","A1_hhh",1,2,-0.199276459,-0.073097163,0.077490926,0.250825638,0.392323442,0.481254667,0.543257472,0.601957579,0.648742285,0.692913619,0.759405758,0.890576699,1.051906726,1.19376846,1.303614493,1.378650448,1.446665865,1.526409011,1.622592456,1.720139549,1.789627619,1.84740615,1.893348559,1.929218919,1.951477221,1.965098856,1.974265176,1.96314118,1.94516737,1.853853565,1
"A1","A1_hhl",1,2,-0.033367471,0.175803389,0.420688659,0.627957771,0.767678845,0.866406383,0.913476716,0.929427858,0.940146178,0.966992483,1.023912336,1.095887741,1.1633219,1.203377356,1.214725701,1.216208693,1.23380724,1.272814,1.322834935,1.368288754,1.401250568,1.432645837,1.460559855,1.489453169,1.513419075,1.522223009,1.5204203,1.517519897,1.510236953,1.486270097,1
"A1","A1_hlh",1,2,0.204188138,0.435918428,0.715212854,0.934449559,1.103576117,1.233668167,1.308041555,1.316938531,1.258906169,1.14107328,0.972552012,0.73541565,0.429737242,0.100772494,-0.190194337,-0.437709307,-0.654951182,-0.851702103,-0.979637833,-1.060918474,-1.115784804,-1.143635995,-1.121196832,-1.042681129,-0.908156261,-0.721404021,-0.524373719,-0.382237999,-0.306017546,-0.286147938,2
"A1","A1_hll",1,2,0.212603442,0.40104155,0.664383235,0.958082072,1.192323392,1.328580195,1.390524989,1.387007115,1.317616481,1.176227782,0.986873487,0.754593249,0.466411143,0.127016528,-0.240626228,-0.562924312,-0.784842238,-0.931093641,-1.03240581,-1.130089639,-1.205654085,-1.247073695,-1.261818826,-1.246092162,-1.168656829,-1.06134415,-0.960847323,-0.919670256,-0.926449932,-0.976556744,2
"A1","A1_lhh",1,2,-0.201551868,-0.243315418,-0.298133844,-0.374258113,-0.450324555,-0.551904299,-0.707634159,-0.858819988,-0.952006546,-1.00442044,-1.024266123,-0.9995381,-0.944324901,-0.90321045,-0.869808916,-0.827075225,-0.759329248,-0.650708162,-0.49102531,-0.31867368,-0.14703008,0.036885107,0.212856379,0.392997178,0.583868219,0.789825511,0.964668242,1.101573633,1.184680077,1.189034401,3
"A1","A1_lhl",1,2,-0.166382791,-0.228244496,-0.3519618,-0.515330875,-0.669820014,-0.805728791,-0.924988476,-1.025828126,-1.088828935,-1.109801273,-1.093183199,-1.04295784,-0.96709243,-0.908248526,-0.878966154,-0.844405744,-0.7734888,-0.670576991,-0.559230617,-0.463727826,-0.39341623,-0.325205128,-0.269979335,-0.215165543,-0.150624703,-0.086764,-0.067923094,-0.092894197,-0.117611011,-0.155996991,3
"A1","A1_llh",1,2,-0.19504932,-0.204414293,-0.312640327,-0.495730621,-0.682099734,-0.825687222,-0.951968246,-1.059470421,-1.138004357,-1.176541572,-1.171430424,-1.139689153,-1.106584234,-1.054856868,-0.981066464,-0.878242387,-0.768087275,-0.633660285,-0.47348656,-0.30956574,-0.161809701,-0.005590595,0.16441289,0.344647328,0.54007492,0.744646159,0.931185202,1.033268196,1.054481918,1.054786885,3
"A1","A1_lll",1,2,-0.187604711,-0.22994292,-0.277394181,-0.383145037,-0.512941793,-0.647225507,-0.785016012,-0.922350178,-1.024892847,-1.10244004,-1.149819988,-1.186425741,-1.213876018,-1.255518875,-1.30786884,-1.3541113,-1.380071592,-1.387922997,-1.398356776,-1.412647601,-1.430945307,-1.438990003,-1.418339832,-1.373176142,-1.291345407,-1.203884532,-1.156825123,-1.160381132,-1.159472443,-1.141504028,4
"A10","A10_hhh",1,2,-0.689184658,-0.707099771,-0.7531152,-0.788189705,-0.74395151,-0.624336149,-0.500841371,-0.439874797,-0.403549544,-0.361478022,-0.285563737,-0.148467214,0.02164614,0.197771422,0.385337368,0.552109803,0.705924722,0.893529221,1.094312818,1.28156248,1.448076557,1.598776237,1.722998054,1.840853509,1.960568106,2.063902056,2.133546139,2.158782428,2.151085385,2.153020301,5
"A10","A10_hhl",1,2,-0.511563096,-0.536965298,-0.583694567,-0.579971255,-0.471231523,-0.329330394,-0.195709416,-0.043987036,0.133245936,0.313711004,0.492503689,0.669942739,0.866785024,1.083947009,1.286455349,1.429939646,1.542565291,1.659128152,1.769388501,1.860376124,1.928663178,1.972535896,2.001167495,2.019833212,2.049610986,2.095748323,2.137043965,2.146903997,2.139622925,2.124831576,1
